id,cal_age,cal_sigma,rad_res,rad_res_sd
H82-2,11523,31,10455,20
H82-2-2,11523,31,10465,20
H82-4,11824,26,10740,20
H82-6,12548,32,11050,20
H82-8,12999,26,11655,20
H82-10,13497,39,12220,20
H82-10-2,13497,39,12215,20
H82-core-5,10730,50,9955,25
H82-core-5-2,10730,50,9970,20
H82-core-7,10900,55,10050,20
H82-core-14,11370,55,10340,25
H82-core-19,11560,40,10385,25
H82-core-19-2,11560,40,10425,20
H82-core-21,11640,40,10475,25
H82-core-25,11880,35,10635,25
H82-core-30,12130,40,10765,25
H82-core-35,12310,40,10825,25
H82-core-42,12510,40,11040,25
H82-core-42-2,12510,40,10970,35
H82-core-44,12620,40,10980,25
H82-core-53,12850,40,11370,25
H82-core-53-2,12850,40,11420,20
H82-core-56,12930,40,11440,25
H82-core-55,12950,40,11565,30
H82-core-60,13000,40,11630,25
H82-core-60-2,13000,40,11590,25
H82-core-65,13210,35,11775,25
H82-core-70,13300,35,11845,30
H82-core-75,13450,40,12160,30
H82-core-80,13540,45,12200,30
H82-core-85,13660,45,12290,30
H82-core-90,13730,45,12315,30
H82-core-95,13890,50,12475,30
H82-core-95-2,13890,50,12485,30
H82-A1,10674,90,9840,25
H82-A2,10764,48,9960,25
H82-A3,10938,28,10035,25
H82-A4,11141,26,10125,30
H82-A5,11298,22,10500,30
H82-A5-2,11298,22,10490,20
H82-A6,11451,23,10420,30
H82-A7,11548,22,10435,25
H82-A8,11664,22,10545,30
H82-A8-2,11664,22,10555,20
H82-A9,11766,22,10585,30
H82-A10,11845,23,10640,30
H82-A11,11921,22,10755,25
H82-A12,12020,22,10780,30
H82-A13,12126,23,10865,30
H82-A13-2,12126,23,10860,20
H82-A14,12213,23,10830,30
H82-A15,12319,21,10815,35
H82-A16,12430,17,10885,30
H82-A16-2,12430,17,10900,20
H82-A17,12558,18,11105,35
H82-A17-2,12558,18,11165,20
H82-A18,12661,21,11085,25
H82-A18-2,12661,21,11140,30
H82-A19,12723,21,11240,30
H82-A19-2,12723,21,11205,20
H82-A20,12760,22,11390,30
H82-A20-2,12760,22,11335,20
H82-A21,12840,23,11465,30
H82-A22,12930,20,11495,30
H82-A23,12986,20,11545,30
H82-A24,13033,23,11670,30
H82-A25,13100,23,11745,30
H82-A26,13174,20,11740,20
H82-A26-2,13174,20,11745,20
H82-A27,13277,21,11880,20
H82-A28,13374,22,12000,20
H82-A29,13436,24,12030,20
H82-A29-2,13436,24,11990,20
H82-A30,13508,26,12125,25
H82-A31,13541,25,12190,20
H82-A32,13609,26,12235,25
H82-A33,13705,29,12295,25
H82-A34,13770,32,12285,25
H82-A35,13791,30,12390,25
H82-A36,13800,23,12425,25
